Class	Average Difficulty	Additional Comments	Difficulty	Date
		Dingwall was amazing and fair. Focus on her lectures to do well on the exam. Grade is determined by 8 homework assignments. Grade is determined by 1 midterm and 1 final	5	12/31/2020
		Took it with Dingwall and Eulgem online during Spring 2021. Tbh one of my favorite classes at UCR so far. The profs are extremely passionate and very helpful if you go to office hours. The material is a bit difficult to keep up with at first, but it is very manageable. To study for midterms, I would write out notes based off of the learning objectives. Then I would make Anki cards using my notes and the exact wording that was used on the learning objectives. Try to start memorizing pathways 2-3 days before the exams (at least). 	6	6/15/2021
		Dr. Dingwall is amazing! Everything you need to know is on her lectures, so really study them and understand it inside out. Midterm and finals are similar to quizzes and homework. Very nice professor and tries to make subject as easy as possible. 	5	12/13/2021
		take with Larsen, great teacher, cares about students and super hard to fail class (you would have to really try to fail) he gives you so many redemption points	3	12/28/2021
		Dr. Dingwall is the best! As long as you study how she tells you to, this class is an easy A. 	5	1/27/2022
		"Spring 2023, all in person. Exams are all free response. Points system (total 400 points). 150 (2 midterms), 80 (9 weekly homework, drops the lowest), 70 (weekly quizzes, drops lowest), 100 points (final exam) 

Professor Dingwall is amazing. Great lecture and teaching style. Taught this class like it was a story and used real life examples in every lecture. There was a logical and reasonable order to the topics we were learning. Lectures were very enjoyable and entertaining. She uploads lecture slides a week in advance, but I didn't need to look at them beforehand or studying anything before. I just showed up to class and did all the studying after. The exams were fair. Exam viewing and not giving back tests was a new concept to me. I understand the premise, but it did make studying for future exams different and more difficult as I wasn't able to go back and see how she likes to structure her exams. But, I don't disagree or believe it drastically affected my grades and how I study/learn. The lecture slides are very helpful as well as her summary outlines. I especially like the templates she provided and how she drew them in class with us. The most important study tool I utilized in this class was rewatching the lectures through Yuja. I did not do this for every single lecture, only the ones where we were filling in our templates. It was vital for me to be able to go back and look back at the videos as she does not post a completed version of her notes. Her office hours were helpful as well. She was very approachable and encouraging towards me as a student. Content was very dense for this class, but it was as expected. I like how we had homework every week as it kept me on top of my studies as well as the weekly quizzes. It helps cushion my grade in the class so it is not only the midterms and finals that compose of my final grade. Thank you Dr. Dingwall."	8	6/9/2023
BCH100A	8.00	So many reactions, so little time.  Dingwall is a wonderful professor with terrific cutoffs (average is about a B-, I think), but the material is difficult, so give yourself lots of time to study and prepare for each exam.	8	6/21/2018
BCH110A	8.25	Biochemistry is a very difficult subject going into if you don’t put in the work for the class. Took this class with Dr. O’Leary and Dr. Blaha and both were really great professors. Dr. O’Leary kept the lecture a little more upbeat than Dr. Blaha but both of them truly want their students to succeed. Averages are mid to high 60s but the deviations for grades are huge. An A is definitely attainable and having them record their lectures and post them up on iLearn was really useful when wanting to study for exams. 	8	12/14/2019
		Avoid Blaha, he's very boring lol	8	12/28/2020
		The material itself was not bad, it was actually interesting. The only problem was that there is so much material you have to know but only a few would show up in the exam. Exams were difficult, some were straight from the power point, but some were also from the power point but written differently. Understand the material and you'll be good.	8	1/3/2022
